Generation types,AL00,AT00,BA00,BE00,BEOF,BG00,CH00,CY00,CZ00,DE00,DEKF,DKBH,DKE1,DKKF,DKNS,DKW1,DZ00,EE00,EEOF,EG00,ES00,FI00,FR00,FR15,GE00,GR00,GR03,HR00,HU00,IE00,IL00,ITA0,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LTOF,LUB1,LUF1,LUG1,LUV1,LV00,LY00,MA00,MD00,ME00,MK00,MT00,NL00,NL60,NL6H,NLA0,NLBH,NLLL,NOM1,NON1,NOS0,PL00,PS00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TN00,TR00,UA00,UK00,UKNI,IT-1,IT-2,IT-3,IT-4,IT-5,IT-6,IT-7,IT-8,IT-9,IT-10,IT-11,IT-12,IT-13,IT-14,IT-15,IT-16,IT-17,IT-18,IT-19,IT-20
Nuclear,0.0,0.0,0.0,2077.0,0,2000.0,1190.0,0.0,4047.2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,2400.0,5100.36,4394.0,61761.0,0.0,0,0.0,0,0.0,3097.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,486.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1739.0,0.0,0.0,0.0,6883.0,0.0,696.0,2814.637264,0,4460.0,13835.0,5510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard coal old 1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45.0,0.0,0,0,485.52,0,0,421.0663432,0,0.0,0,0.0,0.0,268.0,0.0,0.0,0,0.0,0,0.0,102.1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,280,760.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,7367.98,0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,27.085,0,3750.0,19797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard coal old 2,0.0,0.0,0.0,354.4,0,0.0,0.0,0.0,0.0,0.0,0,0,250.0,0,0,357.0,0,0.0,0,0.0,0.0,456.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,2236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,3276.21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0,5980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard coal new,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,430.0,0,0,0.0,0,0.0,0,0.0,0.0,472.0,0.0,0.0,0,0.0,0,290.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,1250,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1663.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.441,0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hard coal CCS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignite old 1,0.0,0.0,1063.0,0.0,0,1904.0,0.0,0.0,2639.2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,73.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,4696.0,0,0.0,0.0,3771.748,0.0,0.0,0.0,0.0,0.0,18.514,0,7120.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignite old 2,0.0,0.0,275.0,0.0,0,600.0,0.0,0.0,2106.6,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,112.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,225.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1824.0,0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,539.0,0.0,0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignite new,0.0,0.0,410.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,225.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,66.375,0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lignite CCS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Conventional old 1,0.0,414.33,0.0,0.0,0,968.0,0.0,366.0,0.0,109.68,0,0,0.0,0,0,111.706,0,0.0,0,0.0,0.0,0.0,0.0,0.0,335,0.0,0,288.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,1165.2,0.0,60.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,636.912,218.0,0.0,0.0,0.0,0.0,0.0,16.716,300,0.0,5400.0,2448.741812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas Conventional old 2,0.0,79.46,0.0,871.0,0,0.0,0.0,97.58,0.0,945.087,0,0,0.0,0,0,375.42,0,0.0,0,16663.5,0.0,0.0,0.0,0.0,250,0.0,0,42.0,0.0,0.0,1170.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,110.0,0,0,0,0.0,0,0.0,4550,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.343,0,0.0,0.0,5062.137864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas CCGT old 1,0.0,356.5,0.0,0.0,0,0.0,0.0,0.0,0.0,53.6,0,0,0.0,0,0,47.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,294.2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,123.3,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.662,0,8510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas CCGT old 2,100.0,220.0,0.0,0.0,0,0.0,0.0,433.6,256.0,460.42,0,0,57.752,0,0,54.3,0,0.0,0,0.0,0.0,640.0,0.0,0.0,0,1026.5,0,47.0,831.4,406.9565217,3960.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,1485,0,0.0,0.0,0.0,204.0,2536.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471,8400.0,0.0,0.0,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas CCGT new,200.0,113.0,0.0,1775.0,0,991.0,0.0,425.7,1211.3,1620.382,0,0,0.0,0,0,0.0,13800,250.0,0,24900.0,0.0,45.0,414.0,0.0,0,3286.0,0,0.0,1786.0,2100.2,4140.0,0,3274.0,0.0,0.0,0.0,0.0,0.0,0,510.0,0,0,0,0.0,0,1004.0,1570,450,0.0,0.0,699.5,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,9620.714352,200,0.0,4711.1,182.9,0.0,0.0,0.0,0.0,170.0,544.456,1350,1980.0,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
